"QID";"InformantID";"Signature";"Year";"CountryCollection";"Age";"Gender";"Nationality";"EthnicSelfID";"CountryID";"LanguageHome";"LanguageMother";"LanguageFather";"PrimarySchool";"SecondarySchool";"Qualifications";"Occupation";"QualiMother";"OccupMother";"QualiFather";"OccupFather";"QualiPartner";"OccupPartner";"YearsLivedOutside";"YearsLivedInside";"YearsLivedOtherEnglish";"Ratio";"CommentsTimeline";"MainVariety";"AdditionalVarieties";"YearsLivedInMainVariety";"RatioMainVariety";"Date";"gender_normalized";"primary_school_normalized";"secondary_school_normalized";"LanguageHome_normalized";"LanguageFather_normalized";"LanguageMother_normalized";"Qualifications_normalized";"QualiMother_normalized";"QualiFather_normalized";"QualiPartner_normalized";"highest_qualification"
"63";"CA15-005f21";"ND";"2015";"CA";"21";"f";"Canadian";"Canadian";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"Bachelor";"";"Bachelor";"general manager";"ND";"ND";"ND";"21";"ND";"1.0";"2 Leeds, England";"Canada";"";"20";"0.95";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"64";"CA15-006m20";"ND";"2015";"CA";"20";"m";"Canadian";"White";"Canada";"mostly English, some French";"English";"French";"state";"state";"Bachelor";"student";"Masters";"accountant";"Masters";"accountant";"ND";"ND";"ND";"20";"ND";"1.0";"";"Canada";"";"20";"1.0";"";"Male";"State";"State";"English, French";"French";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"65";"CA15-007f22";"ND";"2015";"CA";"22";"f";"Canadian";"White";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"High School";"bus driver";"College";"truck driver";"ND";"ND";"ND";"22";"ND";"1.0";"";"Canada";"";"22";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Higher Education";"Professional/Vocational";"Higher Education"
"66";"CA15-008NA21";"ND";"2015";"CA";"21";"";"Canadian";"Sri Lankan";"Canada";"English";"Tamil";"Tamil";"state";"state";"";"";"";"";"";"";"ND";"ND";"ND";"21";"ND";"1.0";"";"Canada";"";"21";"1.0";"";"";"State";"State";"English";"Tamil";"Tamil";"";"";"";"Professional/Vocational";"Secondary Education"
"67";"CA15-009f22";"ND";"2015";"CA";"22";"f";"Canadian";"Caucasian";"Canada";"English";"English";"English";"state";"state";"Bachelor";"server";"College";"day care teacher";"High School";"business man";"ND";"ND";"ND";"22";"ND";"1.0";"";"Canada";"";"22";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"68";"CA15-010m20";"ND";"2015";"CA";"20";"m";"Canadian";"Latin";"Canada";"English";"English";"Portuguese";"state";"";"";"student";"Diploma";"nurse";"High School";"entrepeneur";"ND";"ND";"ND";"20";"ND";"1.0";"";"Canada";"";"20";"1.0";"";"Male";"State";"";"English";"Portuguese";"English";"Higher Education";"Higher Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"69";"CA15-011m19";"ND";"2015";"CA";"19";"m";"Canadian";"Polish-Canadian";"Canada";"Polish, English";"";"Polish";"church";"church";"Bachelor";"student";"Bachelor";"manager";"Apprenticeship";"operations";"ND";"ND";"ND";"19";"ND";"1.0";"";"Canada";"";"19";"1.0";"";"Male";"Church";"Church";"Polish, English";"Polish";"";"Higher Education";"Higher Education";"Work-Based Learning";"Professional/Vocational";"Higher Education"
"70";"CA15-012f21";"ND";"2015";"CA";"21";"f";"Canadian";"Chinese, Canadian";"Canada";"English, Chinese";"Chinese";"Chinese";"state";"state";"Bachelor";"student";"High School";"";"High School";"chef";"ND";"ND";"ND";"21";"ND";"1.0";"";"Canada";"";"21";"1.0";"";"Female";"State";"State";"English, Chinese";"Chinese";"Chinese";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"71";"CA15-013m22";"ND";"2015";"CA";"22";"m";"Canadian/French";"Caucasian";"Canada";"mostly English, some French";"French";"English";"church";"church";"Bachelor";"student";"University";"Federal Gouvernment Canada";"University";"hydro one";"ND";"ND";"ND";"22";"ND";"1.0";"";"Canada";"";"22";"1.0";"";"Male";"Church";"Church";"English, French";"English";"French";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"72";"CA15-014f18";"ND";"2015";"CA";"18";"f";"Canadian";"Caucasian";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"Bachelor";"teacher";"PhD";"professor";"ND";"ND";"ND";"18";"ND";"1.0";"";"Canada";"";"18";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"73";"CA15-015f20";"ND";"2015";"CA";"20";"f";"Canadian";"Chinese/Vietnames";"Canada";"English";"Vietnamese";"Vietnamese";"state";"state";"Bachelor";"student";"High School";"factory";"Elementary";"business owner";"ND";"ND";"ND";"20";"ND";"1.0";"";"Canada";"";"20";"1.0";"";"Female";"State";"State";"English";"Vietnamese";"Vietnamese";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"74";"CA15-016m18";"ND";"2015";"CA";"18";"m";"Canadian";"Serbian";"Canada";"Serbian";"Serbian";"Bosnian";"state";"state";"Bachelor";"cashier";"Bachelor";"manager";"Bachelor";"engineer";"ND";"ND";"ND";"18";"ND";"1.0";"";"Canada";"Serbia/Bosnia";"18";"1.0";"";"Male";"State";"State";"Serbian";"Bosnian";"Serbian";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"75";"CA15-017f23";"ND";"2015";"CA";"23";"f";"Canadian";"White";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"Bachelor";"marketing";"High School";"director";"ND";"ND";"ND";"19";"ND";"0.83";"2-6 Australia";"Canada";"";"19";"0.83";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"76";"CA15-018m20";"ND";"2015";"CA";"20";"m";"Canadian";"Caucasian";"Canada";"mostly English, some French";"English";"English";"state";"state";"Bachelor";"student";"";"";"Bachelor";"";"ND";"ND";"ND";"20";"ND";"1.0";"";"Canada";"";"20";"1.0";"";"Male";"State";"State";"English, French";"English";"English";"Higher Education";"";"Higher Education";"Professional/Vocational";"Higher Education"
"77";"CA15-019f21";"ND";"2015";"CA";"21";"f";"Canadian";"Canadian";"Toronto GTA";"English";"English, Dutch";"English";"church";"private";"Bachelor";"student";"High School";"office aid";"High School";"janitor";"ND";"ND";"ND";"21";"ND";"1.0";"";"Canada";"";"21";"1.0";"";"Female";"Church";"Private";"English";"English";"English, Dutch";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"78";"CA15-020m21";"ND";"2015";"CA";"21";"m";"Canadian";"Caucasian";"Canada";"English";"English, German";"English";"state";"state";"Bachelor";"student, life guard";"Graduate";"teacher";"Graduate";"lawyer";"ND";"ND";"ND";"21";"ND";"1.0";"";"Canada";"";"21";"1.0";"";"Male";"State";"State";"English";"English";"English, German";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"79";"CA15-021m19";"ND";"2015";"CA";"19";"m";"India";"Indian";"India";"English, Hindi";"Hindi";"Hindi";"state (India)";"state";"Bachelor";"student";"Masters";"sales person";"Masters";"bank employee";"ND";"ND";"ND";"2";"ND";"0.11";"0-17 India";"India";"";"17";"0.89";"";"Male";"State";"State";"English, Hindi";"Hindi";"Hindi";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"80";"CA15-022m19";"ND";"2015";"CA";"19";"m";"Canadian";"Dutch";"Canada";"English";"English";"Dutch";"state";"state";"Bachelor";"student";"PhD";"university professor";"Masters";"Architect";"ND";"ND";"ND";"19";"ND";"1.0";"";"Canada";"";"19";"1.0";"";"Male";"State";"State";"English";"Dutch";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"81";"CA15-023f21";"ND";"2015";"CA";"21";"f";"Canadian";"Caucasian";"Canada";"English";"English";"English";"church";"church";"Bachelor";"student";"Bachelor";"bookkeeper";"Bachelor";"company president";"ND";"ND";"ND";"21";"ND";"1.0";"";"Canada";"";"21";"1.0";"";"Female";"Church";"Church";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"82";"CA15-024m19";"ND";"2015";"CA";"19";"m";"Canadian";"Vietnamese";"Canada";"English, Vietnamese";"Vietnamese";"Vietnamese";"state";"state";"Bachelor";"student";"High School";"line worker";"High School";"contractor";"ND";"ND";"ND";"19";"ND";"1.0";"";"Canada";"";"19";"1.0";"";"Male";"State";"State";"English, Vietnamese";"Vietnamese";"Vietnamese";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"83";"CA15-025m20";"ND";"2015";"CA";"20";"m";"Chinese";"Chinese, Canadian";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"Masters";"educational principle";"Bachelor";"computer technician";"ND";"ND";"ND";"20";"ND";"1.0";"";"Canada";"";"20";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"84";"CA15-026f21";"ND";"2015";"CA";"21";"f";"Canadian";"Chinese";"";"English, Mandarin";"Mandarin";"Mandarin";"state";"state";"Bachelor";"Accountant";"College";"Accountant";"University";"Accountant";"ND";"ND";"ND";"15";"ND";"0.71";"0-6 China";"Canada";"China";"15";"0.71";"";"Female";"State";"State";"English, Mandarin";"Mandarin";"Mandarin";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"85";"CA15-027m23";"ND";"2015";"CA";"23";"m";"Canadian";"Ukrainian";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"University";"homemaker";"Bachelor";"small business owner";"ND";"ND";"ND";"23";"ND";"1.0";"";"Canada";"";"23";"1.0";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"86";"CA15-028f20";"ND";"2015";"CA";"20";"f";"Indian";"Indian, Canadian";"Canada";"English";"Malayalam";"Malayalam";"church";"church";"Bachelor";"student";"PhD";"computer scientist";"Masters";"computer scientist";"ND";"ND";"ND";"20";"ND";"1.0";"";"Canada";"";"20";"1.0";"";"Female";"Church";"Church";"English";"Malayalam";"Malayalam";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"87";"CA15-029m19";"ND";"2015";"CA";"19";"m";"Canada";"Chinese, Canadian";"Canada";"Mandarin, Chinese";"Mandarin, Chinese";"Mandarin, Chinese";"state";"state";"Bachelor";"student";"";"";"";"";"ND";"ND";"ND";"19";"ND";"1.0";"0-9 China";"China";"Canada";"10";"0.53";"";"Male";"State";"State";"Mandarin, Chinese";"Mandarin, Chinese";"Mandarin, Chinese";"Higher Education";"";"";"Professional/Vocational";"Higher Education"
"88";"CA15-030f22";"ND";"2015";"CA";"22";"f";"Canadian";"Caucasian";"Canada";"English";"Romanian";"English";"state";"private";"some College";"student";"Bachelor";"engineer";"Bachelor";"engineer";"ND";"ND";"ND";"14";"ND";"0.64";"0-4 South Korea/Canada/Romania; 9-12 China; 13 Romania";"Canada";"";"14";"0.64";"";"Female";"State";"Private";"English";"English";"Romanian";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"89";"CA15-031m22";"ND";"2015";"CA";"22";"m";"German";"Caucasian";"Canada";"German";"German";"German";"state";"state";"Bachelor";"post-secondary student";"High School";"";"Trade School";"";"ND";"ND";"ND";"9";"ND";"0.41";"0-13 Germany";"Germany";"Canada";"13";"0.59";"";"Male";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Professional/Vocational";"Professional/Vocational";"Higher Education"
"90";"CA15-032f20";"ND";"2015";"CA";"20";"f";"Canadian";"";"Canada";"English";"Shona";"Shona";"state";"state";"Bachelor";"HR coordinator/ direct support person";"Bachelor";"director of care";"Bachelor";"project manager ICT";"ND";"ND";"ND";"15";"ND";"0.75";"6-11 Zimbabwe";"Canada";"";"15";"0.75";"";"Female";"State";"State";"English";"Shona";"Shona";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"91";"CA15-033m20";"ND";"2015";"CA";"20";"m";"South Korean";"Canadian";"Canada";"Korean";"Korean";"Korean";"state";"state";"Bachelor";"student";"High School";"business owner";"Undergraduate";"business owner";"ND";"ND";"ND";"";"ND";"";"0-8 Seoul, South Korea";"South Korea";"Canada";"12";"0.6";"";"Male";"State";"State";"Korean";"Korean";"Korean";"Higher Education";"Secondary Education";"Higher Education";"Professional/Vocational";"Higher Education"
"92";"CA15-034f18";"ND";"2015";"CA";"18";"f";"Canadian";"";"Canada";"Chinese";"Chinese";"Chinese";"state";"state";"Bachelor";"student";"University";"sales associate";"University";"computer scientist";"ND";"ND";"ND";"9";"ND";"0.5";"0-9 China";"China";"Canada";"9";"0.5";"";"Female";"State";"State";"Chinese";"Chinese";"Chinese";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"93";"CA15-035f19";"ND";"2015";"CA";"19";"f";"Chinese";"Asian";"";"English, Chinese";"Chinese";"Chinese";"state";"state";"Bachelor";"student";"University";"financialist";"University";"chef";"ND";"ND";"ND";"12";"ND";"0.63";"0-7 China";"Canada";"China";"12";"0.63";"";"Female";"State";"State";"English, Chinese";"Chinese";"Chinese";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
"94";"CA15-036f20";"ND";"2015";"CA";"20";"f";"Jamaican";"Black";"Canada";"English";"English";"English";"state";"state";"Bachelor";"student";"High School";"chef";"College";"engineer";"ND";"ND";"ND";"20";"ND";"1.0";"";"Canada";"";"20";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Higher Education";"Professional/Vocational";"Higher Education"
"95";"CA15-037f22";"ND";"2015";"CA";"22";"f";"English";"";"Ontario";"mostly English, some French";"English, French";"English, Native, French";"state";"state";"";"";"";"";"";"N";"ND";"ND";"ND";"22";"ND";"1.0";"";"Canada";"";"22";"1.0";"";"Female";"State";"State";"English, French";"English, Native, French";"English, French";"";"";"";"Professional/Vocational";"Secondary Education"
"96";"CA15-038f22";"ND";"2015";"CA";"22";"f";"Canadian";"Caucasian";"Canada";"English";"English";"English";"church";"church";"";"sales coordinator Holiday Inn Express & Suite";"University";"child care service";"High School";"machinist";"ND";"ND";"ND";"22";"ND";"1.0";"";"Canada";"";"22";"1.0";"";"Female";"Church";"Church";"English";"English";"English";"No/Other Qualification";"Higher Education";"Secondary Education";"Professional/Vocational";"No/Other Qualification"
"97";"CA15-039m35";"ND";"2015";"CA";"35";"m";"Canadian";"Caucasian";"Canada";"English";"English";"English";"state";"state";"Apprenticeship";"maintenance";"Bachelor";"teacher";"High School";"meat inspector";"ND";"ND";"ND";"33";"ND";"0.94";"18-20 New Zealand";"Canada";"";"33";"0.94";"";"Male";"State";"State";"English";"English";"English";"Work-Based Learning";"Higher Education";"Secondary Education";"Professional/Vocational";"Work-Based Learning"
"98";"CA15-040f24";"ND";"2015";"CA";"24";"f";"Caucasian";"";"Canada";"English";"English";"English";"state";"state";"Bachelor";"housekeeping";"High School";"daycare";"High School";"";"ND";"ND";"ND";"24";"ND";"1.0";"";"Canada";"";"24";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"99";"CA15-041f28";"ND";"2015";"CA";"28";"f";"Canada";"";"Ontario";"English";"English";"English";"state";"state";"Master's";"lab technician";"some College";"banker";"college technical";"salesman";"ND";"ND";"ND";"28";"ND";"1.0";"";"Canada";"";"28";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Professional/Vocational";"Professional/Vocational";"Higher Education"
"100";"CA15-042f39";"ND";"2015";"CA";"39";"f";"Canadian";"White";"Canada";"English";"English";"English";"state";"state";"Bachelor";"sales";"University";"teacher";"College";"revenue Canada";"ND";"ND";"ND";"39";"ND";"1.0";"";"Canada";"";"39";"1.0";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
